respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.14674893,0.31453812
26708,0.107503794,0.12611325
26709,0.3640371,0.62690675
26710,0.31388623,0.79844254
26711,0.20165332,0.44373184
26712,0.32338932,0.8026511
26713,0.27467936,0.5224786
26714,0.15714851,0.26511902
26715,0.090080336,0.22522561
26716,0.21019712,0.7987187
26717,0.07560557,0.36709866
26718,0.23071566,0.48400953
26719,0.17031528,0.774188
26720,0.14237873,0.24676646
26721,0.326434,0.47446817
26722,0.10246348,0.15459152
26723,0.42827252,0.7594599
26724,0.15249573,0.57810485
26725,0.10036933,0.15977812
26726,0.06817372,0.1009011
26727,0.27326405,0.76231974
26728,0.2291823,0.5022385
26729,0.14057173,0.3928742
26730,0.101692304,0.29064876
26731,0.06590432,0.34344977
26732,0.11987065,0.13806288
26733,0.6703543,0.86692995
26734,0.48305637,0.4592139
26735,0.16937979,0.40633163
26736,0.14607951,0.26116538
26737,0.12697603,0.18264017
26738,0.46543008,0.77073485
26739,0.14841032,0.27612925
26740,0.18140641,0.20462239
26741,0.28568777,0.7867369
26742,0.18399678,0.45978725
26743,0.09782125,0.4425904
26744,0.12973545,0.55586463
26745,0.20447277,0.82726794
26746,0.15726952,0.3603679
26747,0.14901125,0.3331399
26748,0.17276472,0.14762981
26749,0.179592,0.557561
26750,0.46103862,0.8483108
26751,0.26010513,0.5818806
26752,0.07117478,0.06678516
26753,0.22258939,0.6257822
26754,0.18844217,0.42092583
26755,0.13094753,0.34552056
26756,0.06454037,0.10003273
26757,0.3601379,0.5281848
26758,0.37092802,0.7264487
26759,0.093543634,0.2569324
26760,0.061842434,0.10436604
26761,0.17042306,0.5726548
26762,0.15471926,0.71136737
26763,0.64569336,0.913881
26764,0.6950709,0.88343495
26765,0.13321552,0.5663112
26766,0.18867284,0.25562856
26767,0.5411432,0.6633404
26768,0.096466154,0.36806414
26769,0.18385643,0.24107392
26770,0.22613391,0.5274582
26771,0.12201269,0.28388262
26772,0.14197113,0.42800692
26773,0.08873637,0.35642284
26774,0.1069547,0.33790416
26775,0.15288614,0.46644497
26776,0.32928616,0.3529485
26777,0.22009186,0.80252755
26778,0.18284824,0.24039616
26779,0.18712154,0.54758745
26780,0.26238963,0.86718214
26781,0.10718841,0.45956573
26782,0.107511945,0.34546223
26783,0.13587104,0.38915178
26784,0.28280675,0.74540824
26785,0.27104518,0.5338037
26786,0.16946882,0.3154267
26787,0.1540783,0.50515556
26788,0.19416581,0.80550945
26789,0.084541105,0.269197
26790,0.13233052,0.34764475
26791,0.13170977,0.25887907
26792,0.24263142,0.703708
26793,0.1939338,0.7727575
26794,0.55133027,0.8249183
26795,0.1410867,0.7975786
26796,0.10429366,0.15170531
26797,0.18393715,0.49997422
26798,0.2038302,0.2567873
26799,0.28977045,0.3129315
26800,0.1276239,0.8007746
26801,0.21249734,0.3685288
26802,0.15338312,0.25949717
26803,0.12440943,0.23139925
26804,0.13673846,0.26787713
26805,0.13365182,0.3107358
26806,0.18372463,0.7935177
26807,0.43121764,0.88506293
26808,0.23458894,0.504327
26809,0.39653766,0.31575486
26810,0.10446458,0.20625688
26811,0.11063627,0.1439499
26812,0.18656415,0.61779696
26813,0.2388026,0.37405306
26814,0.09544972,0.48585075
26815,0.10997423,0.21337633
26816,0.10610141,0.23081921
26817,0.1857575,0.674176
26818,0.13902292,0.29650393
26819,0.3288984,0.45725113
26820,0.14848486,0.3576108
26821,0.17022386,0.48001206
26822,0.23327504,0.60163116
26823,0.27680695,0.50436085
26824,0.12054596,0.5732773
26825,0.2848193,0.69729775
26826,0.13710412,0.6448983
26827,0.12096715,0.24449524
26828,0.19119534,0.6040451
26829,0.45252532,0.8689633
26830,0.13086833,0.6619902
26831,0.18464823,0.68789256
26832,0.24697548,0.7182345
26833,0.047561623,0.3439866
26834,0.15000087,0.42415616
26835,0.29797563,0.802677
26836,0.17395987,0.5438524
26837,0.06710012,0.079170294
26838,0.14278488,0.45450217
26839,0.16362639,0.44672436
26840,0.14143957,0.21327071
26841,0.25411904,0.6778096
26842,0.1267666,0.24825405
26843,0.088988885,0.06321656
26844,0.1044011,0.43086192
26845,0.14716132,0.56778914
26846,0.11380382,0.6508406
26847,0.2139101,0.2142627
26848,0.11786314,0.6464191
26849,0.1798026,0.5476836
26850,0.46409515,0.6618146
26851,0.09686109,0.14940554
26852,0.09330518,0.1946505
26853,0.36650267,0.48148626
26854,0.076274395,0.15866973
26855,0.41889706,0.76411563
26856,0.15946627,0.1013057
26857,0.33382332,0.26784438
26858,0.16272436,0.5040852
26859,0.14949284,0.23606922
26860,0.16361366,0.17285362
26861,0.11208643,0.13605562
26862,0.16475743,0.3609429
26863,0.23016961,0.42504117
